instance_id,benchmark,language,file_count_bucket,harness,cond,arm,seed,model,status_taxonomy,legit,resolved,f2p_pass,f2p_total,p2p_pass,p2p_total,cost_usd,total_cost_usd,turns,tokens_total,patch_bytes,modified_files,wall_clock_secs,n_surfaced,first_gold_rank,acc@1,acc@3,acc@5,acc@10,recall@1,recall@3,recall@5,recall@10,n_gold,edit_precision,edit_recall,loc_metric
instance_gravitational__teleport-b1bcd8b90c474a35bb11cc3ef4cc8941e1f8eab2-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,pro,go,1,opencode,l1,OpenCode,0,anthropic/claude-opus-4-7,unresolved,1,0,1,2,0,1,0.56075625,0.560756,16,8001,2816,2,146.52,15,1,1,1,1,1,1.0,1.0,1.0,1.0,1,0.5,1.0,agent_targeted_v3
apache__rocketmq-4122,polybench,java,2,opencode,l1,OpenCode,0,anthropic/claude-opus-4-7,unresolved,1,0,0,1,0,0,2.309480000000001,4.810478,58,22909,5114,2,443.68,40,1,1,1,1,1,0.5,0.5,1.0,1.0,2,0.5,0.5,agent_targeted_v3
apache__rocketmq-4122,polybench,java,2,supercoder,on,SC-ON,0,anthropic/claude-opus-4-7,unresolved,1,0,0,1,0,0,3.2477462499999987,6.588154,64,23185,4324,1,480.16,22,2,0,1,1,1,0.0,0.5,1.0,1.0,2,1.0,0.5,agent_targeted_v3
apache__rocketmq-4122,polybench,java,2,supercoder,off,SC-OFF,0,anthropic/claude-opus-4-7,unresolved,1,0,0,1,0,0,0.839557,3.098281,37,10209,4188,3,319.83,34,8,0,0,0,1,0.0,0.0,0.0,1.0,2,0.3333,0.5,agent_targeted_v3
instance_flipt-io__flipt-0b119520afca1cf25c470ff4288c464d4510b944,pro,go,3+,supercoder,off,SC-OFF,0,anthropic/claude-opus-4-7,resolved,1,1,1,1,0,0,1.7030957499999995,2.878291,52,14520,9279,2,417.37,62,10,0,0,0,1,0.0,0.0,0.0,0.3333,3,1.0,0.6667,agent_targeted_v3
apache__dubbo-8414,polybench,java,3+,supercoder,on,SC-ON,0,anthropic/claude-opus-4-7,unresolved,1,0,0,1,0,0,1.65510825,1.65510825,39,11467,6882,2,498.36,29,1,1,1,1,1,0.25,0.5,0.5,0.5,4,0.5,0.25,agent_targeted_v3
apache__dubbo-8414,polybench,java,3+,supercoder,off,SC-OFF,0,anthropic/claude-opus-4-7,unresolved,1,0,0,1,0,0,3.1100152499999996,3.1100152499999996,63,18620,9602,3,1181.53,49,13,0,0,0,0,0.0,0.0,0.0,0.0,4,0.6667,0.5,agent_targeted_v3
apache__dubbo-8414,polybench,java,3+,opencode,l1,OpenCode,0,anthropic/claude-opus-4-7,unresolved,1,0,0,1,0,0,1.1783962500000003,1.1783962500000003,35,13828,3835,1,512.3,20,3,0,1,1,1,0.0,0.25,0.75,0.75,4,1.0,0.25,agent_targeted_v3
apache__rocketmq-7563,polybench,java,2,supercoder,on,SC-ON,0,anthropic/claude-opus-4-7,unresolved,1,0,0,5,0,0,2.0795482499999998,2.0795482499999998,40,12564,3341,2,464.57,33,6,0,0,0,1,0.0,0.0,0.0,0.5,2,0.0,0.0,agent_targeted_v3
apache__rocketmq-7563,polybench,java,2,supercoder,off,SC-OFF,0,anthropic/claude-opus-4-7,unresolved,1,0,0,5,0,0,5.522694999999997,5.522694999999997,95,37368,2066,1,1083.13,107,5,0,0,1,1,0.0,0.0,0.5,0.5,2,1.0,0.5,agent_targeted_v3
apache__rocketmq-7563,polybench,java,2,opencode,l1,OpenCode,0,anthropic/claude-opus-4-7,unresolved,1,0,0,5,0,0,1.36825425,1.36825425,33,15869,3291,1,444.62,18,1,1,1,1,1,0.5,0.5,0.5,0.5,2,1.0,0.5,agent_targeted_v3
